web-scraper-order,web-scraper-start-url,riverSegment,riverName,riverMile,bank,lat,long,season,camping,contact,phone,website,restrooms-src,potableWater-src,marineDumpStation-src,dayUseOnly-src,picnicShelters-src,boatRamp-src,handCarried-src,marina-src,adaAccess-src
1639845955-54,http://www.ndwt.org/ndwt/explore/site.asp?site=157,Lake Bonneville,Columbia,172,WA,45.70465,-121.455167,year round,undeveloped,Port of Klickitat,509-493-1655,,1,0,0,1,0,0,0,0,0
1639845834-2,http://www.ndwt.org/ndwt/explore/site.asp?site=212,Lake Wallula,Columbia,337.5,West,46.274805,-119.271569,year round,None,City of Richland Parks and Recreation Department,509-942-7529,http://tinyurl.com/3ewy2k,1,1,0,1,1,1,1,0,1
1639846046-95,http://www.ndwt.org/ndwt/explore/site.asp?site=116,Lake Umatilla,Columbia,289,OR,45.914945,-119.350084,year round,None,City of Umatilla,(541) 922-3226,http://www.umatilla-city.org/facts.html,1,0,0,0,0,1,1,0,0
1639846002-75,http://www.ndwt.org/ndwt/explore/site.asp?site=136,Lake Celilo,Columbia,215.9,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846139-137,http://www.ndwt.org/ndwt/explore/site.asp?site=74,Lake Sacajawea,Snake,39,N - WA,46.533268,-118.581204,Open Year Round. Restrooms/Water provided April 1 - Sept 7,Yes,Ice Harbor Lock and Dam,"(	509)-547-2048",http://tinyurl.com/2cvgfb,1,1,0,1,1,1,1,0,1
1639846011-79,http://www.ndwt.org/ndwt/explore/site.asp?site=132,Lake Umatilla,Columbia,219,S- OR,45.728,-120.65,,Yes,The Dalles Natural Resource Management Office,(541)506-7819,http://tinyurl.com/22j7eb,1,0,0,1,0,1,0,0,0
1639846083-112,http://www.ndwt.org/ndwt/explore/site.asp?site=99,Lake Wallula,Columbia,329,WA,46.217682,-119.108862,,,,,,0,0,0,0,0,0,0,0,0
1639846039-92,http://www.ndwt.org/ndwt/explore/site.asp?site=119,Lake Umatilla,Columbia,280,OR,45.91,-119.55,year round,Yes,The Dalles Natural Resource Management Office,541-506-7819,,1,0,0,1,0,1,1,0,0
1639845893-28,http://www.ndwt.org/ndwt/explore/site.asp?site=185,,Clearwater,6,North,46 25.326,-116 55.555,,,Idaho Fish and Game,,http://tinyurl.com/28x8kh,0,0,0,1,0,1,0,0,0
1639846257-188,http://www.ndwt.org/ndwt/explore/site.asp?site=21,Clearwater,Clearwater,21,South,46.51208,-116.68378,,None,Idaho Fish & Game,(208) 334-3700,,1,0,0,0,0,1,1,0,0
1639846154-144,http://www.ndwt.org/ndwt/explore/site.asp?site=67,Lake West,Snake,59,S -WA,46.585647,-118.220225,Year round Closed on Tuesdays for both Summer and Winter hours..,Yes,Clarkston Natural Resources Office,509-751-0240,http://tinyurl.com/284x54,1,0,1,1,0,1,1,1,1
1639846068-105,http://www.ndwt.org/ndwt/explore/site.asp?site=106,Lake Wallula,Columbia,309,,46,-118.986531,,,,,,0,0,0,0,0,0,0,0,0
1639845874-20,http://www.ndwt.org/ndwt/explore/site.asp?site=194,,Clearwater,0.75,,,,,,,,,0,0,0,1,0,0,0,0,0
1639846028-87,http://www.ndwt.org/ndwt/explore/site.asp?site=124,Lake Umatilla,Columbia,262,N-WA,45.856,-119.85,March 15th to October 15th,Yes,Benton County,,http://www.crowbutte.com/,1,0,0,1,1,1,0,0,1
1639846050-97,http://www.ndwt.org/ndwt/explore/site.asp?site=114,Lake Umatilla,Columbia,291.9,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846090-115,http://www.ndwt.org/ndwt/explore/site.asp?site=96,Lake Wallula,Columbia,334,WA,46.238445,-119.226897,year round,None,City of Richland Parks Department,(509) 942-7529,http://tinyurl.com/3pg5fx,1,0,0,1,1,1,1,0,1
1639846088-114,http://www.ndwt.org/ndwt/explore/site.asp?site=97,Lake Wallula,Columbia,330,WA,46.22209,-119.140141,Year Round,None,City of Kennewick,(509)-585-4529,http://tinyurl.com/2xqny3,1,0,0,0,0,1,1,1,0
1639846245-183,http://www.ndwt.org/ndwt/explore/site.asp?site=26,,Clearwater,,ID,46.450916,-116.818144,,,,,,0,0,0,0,0,0,0,0,0
1639846252-186,http://www.ndwt.org/ndwt/explore/site.asp?site=23,,Clearwater,,S-ID,,,,,Nez Perce National Historic Park,,,0,0,0,0,0,0,0,0,0
1639846026-86,http://www.ndwt.org/ndwt/explore/site.asp?site=125,Lake Umatilla,Columbia,259,WA,45.835,-119.29,,,,,,0,0,0,0,0,0,0,0,0
1639846059-101,http://www.ndwt.org/ndwt/explore/site.asp?site=110,Lake Wallula,Columbia,296,OR,45.93117,-119.269871,Gates closed at sunset between May 1st and September 30th.,None,McNary Lock and Dam,,http://tinyurl.com/yptolj,1,1,0,1,1,0,1,0,1
1639845845-7,http://www.ndwt.org/ndwt/explore/site.asp?site=207,,Clearwater,18,South,46.49602,116.72854,,Tent and RV,Idaho Fish & Game,(208) 476-4541,http://tinyurl.com/286spz,1,1,0,0,0,0,1,0,0
1639846017-82,http://www.ndwt.org/ndwt/explore/site.asp?site=129,Lake Umatilla,Columbia,242,WA,45.741,-120.22,,Yes,The Dalles Natural Resource Management Office,(541)-386-9225,http://roosevelt.mediaforte.com/,1,0,0,1,0,1,1,0,0
1639846248-184,http://www.ndwt.org/ndwt/explore/site.asp?site=25,,Clearwater,,ID,,,,,ID Fish & Game (BLM/CMC),(208)-799-5090,,1,0,0,1,0,1,0,0,0
1639845928-42,http://www.ndwt.org/ndwt/explore/site.asp?site=169,Lake Bonneville,Columbia,150,WA,45.692167,-121.882367,year round,undeveloped,Port of Skamania,509-427-5484,,1,0,0,1,0,0,0,0,1
1639845933-44,http://www.ndwt.org/ndwt/explore/site.asp?site=167,Lake Bonneville,Columbia,160,OR,45.69925,-121.66785,Day use park and windsurfing area open year round. Camping Mid-March - October.,Tent and RV sites,Oregon State Parks,503-695-2261 x 222,http://www.oregonstateparks.org/park_171.php,1,1,0,1,1,0,0,0,1
1639845973-62,http://www.ndwt.org/ndwt/explore/site.asp?site=149,Lake Bonneville,Columbia,190,OR,45.626133,-121.197767,year round,undeveloped,Port of The Dalles,541-298-4148,,1,0,0,1,0,0,0,0,1
1639846234-180,http://www.ndwt.org/ndwt/explore/site.asp?site=31,,Clearwater,,ID,,,,,Idaho Trans. Dept.,,,0,0,0,0,0,0,0,0,0
1639846297-206,http://www.ndwt.org/ndwt/explore/site.asp?site=3,Clearwater,Clearwater,35,,,,,,Nez Perce Tribe,,,0,0,0,1,0,1,0,0,0
1639846112-125,http://www.ndwt.org/ndwt/explore/site.asp?site=86,Lake Wallula,Snake,9.6,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846163-148,http://www.ndwt.org/ndwt/explore/site.asp?site=63,Lake West,Snake,67,N -WA,46.576515,-118.091199,Year round,Yes,Clarkston Natural Resources Office,509-751-0240,http://tinyurl.com/2hv54s,1,0,0,1,0,0,1,0,0
1639845847-8,http://www.ndwt.org/ndwt/explore/site.asp?site=206,Clearwater,Clearwater,5,South,46.52504,116.62625,year round,None,BLM Cottonwood Field Office,(503) 588-2701,,1,0,0,1,0,0,0,0,0
1639845924-40,http://www.ndwt.org/ndwt/explore/site.asp?site=171,Lake Bonneville,Columbia,150,WA,45.694067,-121.878017,year round,None,Port of Skamania,509-427-5484,http://tinyurl.com/2d9js8,1,0,0,1,0,1,1,0,1
1639846202-166,http://www.ndwt.org/ndwt/explore/site.asp?site=45,Lower Granite Lake,Snake,111,N - WA,46.6241,-117.37525,year round,Yes,Clarkston Natural Resources Office,"(	509) 751-0240",http://tinyurl.com/ysektr,1,0,0,0,0,1,0,0,1
1639846218-173,http://www.ndwt.org/ndwt/explore/site.asp?site=38,Lower Granite Lake,Snake,140,W -WA,46.41935,-117.036083,Year round,None,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/yu9rmu,1,1,0,1,0,1,0,0,1
1639846121-129,http://www.ndwt.org/ndwt/explore/site.asp?site=82,Lake Sacajawea,Snake,11,S -WA,46.260205,-118.846432,"day-use open year round, Fee campground May 1 to Oct 31, 6a.m. to 10p.m.",Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/yplt56,1,0,0,1,0,1,1,1,0
1639846209-169,http://www.ndwt.org/ndwt/explore/site.asp?site=42,Lower Granite Lake,Snake,132,S -WA,46.41609,-117.195539,Opening and closing dates will depend upon use and weather.,Yes,Clarkston Natural Resources Office,509-758-9580 (Summer Only),http://tinyurl.com/27b2ev,1,1,1,0,0,1,0,0,1
1639846207-168,http://www.ndwt.org/ndwt/explore/site.asp?site=43,Lower Granite Lake,Snake,126,N - ID,46.4724,-117.23495,Year round,Yes,Clarkston Natural Resources Office,(505)-751-0240,http://tinyurl.com/2f8de3,1,0,0,0,0,1,0,0,1
1639846125-131,http://www.ndwt.org/ndwt/explore/site.asp?site=80,Lake Sacajawea,Snake,15,N - WA,46.29251,-118.809013,Year round,None,Ice Harbor Lock and Dam,"(	509)-547-2048",http://tinyurl.com/2yvwrq,0,0,0,0,0,1,0,0,0
1639846070-106,http://www.ndwt.org/ndwt/explore/site.asp?site=105,Lake Wallula,Columbia,312,WA,46.025706,-118.937465,year round,None,McNary Lock & Dam,(509)-547-4946,http://tinyurl.com/yuy23z,1,0,0,1,0,1,1,0,0
1639845887-25,http://www.ndwt.org/ndwt/explore/site.asp?site=188,Lower Granite Lake,Snake,113,,46.6037,-117.357317,,undeveloped,,,,0,0,0,1,0,0,0,0,0
1639846145-140,http://www.ndwt.org/ndwt/explore/site.asp?site=71,Lake West,Snake,41.6,both - WA,46.560671,-118.537673,Year round,undeveloped,Ice Harbor Lock and Dam,,,1,0,0,1,0,0,0,0,0
1639846136-136,http://www.ndwt.org/ndwt/explore/site.asp?site=75,Lake Sacajawea,Snake,30,S -WA,46.437588,-118.63432,Year round,Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/2g57yo,1,0,0,1,0,1,1,0,1
1639845900-30,http://www.ndwt.org/ndwt/explore/site.asp?site=182,Lower Granite Lake,Snake,113,North,46 36.222,117 21.439,,undeveloped,,,,0,0,0,1,0,0,0,0,0
1639846072-107,http://www.ndwt.org/ndwt/explore/site.asp?site=104,Lake Wallula,Columbia,314,WA,46.100058,-118.918884,,,,,,0,0,0,0,0,0,0,0,0
1639846103-121,http://www.ndwt.org/ndwt/explore/site.asp?site=90,Lake Wallula,Snake,1,N - WA / E (on Columbia),46.201353,-119.03771,"Year round launch, park closes Oct to May",Yes,Ice Harbor Lock and Dam,(509)-545-2361,http://tinyurl.com/24v8xa,1,0,0,1,0,1,1,0,1
1639845920-38,http://www.ndwt.org/ndwt/explore/site.asp?site=173,Lake Bonneville,Columbia,150,OR,45.672183,-121.8912,year round,Tent and RV sites,Port of Cascade Locks,541-374-8427,http://www.portofcascadelocks.org/marinepark.htm,1,0,1,1,0,1,1,1,1
1639846275-196,http://www.ndwt.org/ndwt/explore/site.asp?site=13,Clearwater,Clearwater,2,N - ID,46.42056,-116.99883,Year round (Baseball & Softball Diamonds May 23- July)/Little League Baseball,None,Clarkston Natural Resources Office,208-746-2313,http://www.cityoflewiston.org/parkrec/index.htm,1,0,0,1,0,0,1,0,1
1639846055-99,http://www.ndwt.org/ndwt/explore/site.asp?site=112,Lake Wallula,Columbia,292,WA,45.943539,-119.299175,,,McNary Lock & Dam,,http://tinyurl.com/4xg488,0,0,0,0,0,0,0,0,0
1639845904-32,http://www.ndwt.org/ndwt/explore/site.asp?site=180,Lake Sacajawea,Snake,,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846156-145,http://www.ndwt.org/ndwt/explore/site.asp?site=66,Lake West,Snake,59.5,N -WA,46.593254,-118.218603,Memorial Day weekend through September,Yes,Clarkston Natural Resources Office,(509) 399-8020,http://tinyurl.com/yojob8,1,0,0,1,0,1,0,1,1
1639846053-98,http://www.ndwt.org/ndwt/explore/site.asp?site=113,Lake Wallula,Columbia,292,South,45.939986,-119.30102,year round,None,McNary Lock and Dam,(541)-922-2268,,0,0,0,1,0,1,1,0,0
1639846074-108,http://www.ndwt.org/ndwt/explore/site.asp?site=103,Lake Wallula,Columbia,317,N- WA,46.103134,-118.972277,year round,undeveloped,Benton County Parks,,,0,0,0,0,0,0,0,0,0
1639846079-110,http://www.ndwt.org/ndwt/explore/site.asp?site=101,Lake Wallula,Columbia,325,WA,46.189888,-119.050301,year round,None,Benton County Facilities and Parks,"(	509)-783-3118",http://tinyurl.com/29efgv,1,1,0,1,0,1,1,0,0
1639846183-157,http://www.ndwt.org/ndwt/explore/site.asp?site=54,Lake Bryan,Snake,93,S -WA,46.700363,-117.661417,,undeveloped,Army Corps of Engineers,,,0,0,0,0,0,0,0,0,0
1639846169-151,http://www.ndwt.org/ndwt/explore/site.asp?site=60,Lake Bryan,Snake,70.31,,,,,,,,,0,0,0,0,0,0,0,0,0
1639845953-53,http://www.ndwt.org/ndwt/explore/site.asp?site=158,Lake Bonneville,Columbia,169,OR,45.715033,-121.5117,"year round , restrooms open and fees collected April 16-Sept. 30",undeveloped,Port of Hood River,541-386-1645,,1,0,0,1,0,0,0,1,1
1639845978-64,http://www.ndwt.org/ndwt/explore/site.asp?site=147,,Columbia,192,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846161-147,http://www.ndwt.org/ndwt/explore/site.asp?site=64,Lake West,Snake,66,S -WA,46.561252,-118.100921,Year round,None,Clarkston Natural Resources Office,509-751-0240,http://tinyurl.com/2789aj,1,0,0,1,0,1,1,0,0
1639845960-56,http://www.ndwt.org/ndwt/explore/site.asp?site=155,Lake Bonneville,Columbia,174,WA,45.722117,-121.570083,year round,None,Privately Owned,,http://tinyurl.com/2hd3vt,1,0,0,1,0,0,1,0,0
1639845993-71,http://www.ndwt.org/ndwt/explore/site.asp?site=140,Lake Celilo,Columbia,210,WA,45.7,-120.79,,Tent and RV,Peach Beach RV Park,509-773-4698,http://tinyurl.com/yqrneo,1,0,0,0,0,0,1,0,0
1639846022-84,http://www.ndwt.org/ndwt/explore/site.asp?site=127,Lake Umatilla,Columbia,243,OR,45.72,-120.2,,,,,,1,0,0,1,0,0,0,0,0
1639846222-175,http://www.ndwt.org/ndwt/explore/site.asp?site=36,Lower Granite Lake,Snake,142,West,46.386579,-117.046945,Year round,None,Clarkston Resources Office,,http://tinyurl.com/3onngf,1,0,0,0,1,1,1,0,0
1639845861-14,http://www.ndwt.org/ndwt/explore/site.asp?site=200,Lake Umatilla,,,,,,,,Amry corps of engineers,,,0,0,0,0,0,1,0,0,0
1639846196-163,http://www.ndwt.org/ndwt/explore/site.asp?site=48,Lower Granite Lake,Snake,107.4,,46.658067,-117.42125,,,,,,0,0,0,0,0,0,0,0,0
1639846290-203,http://www.ndwt.org/ndwt/explore/site.asp?site=6,Clearwater,Clearwater,2.5,ID,,,"Year round; Access may be partially limited in winter, however, due to inclement weather conditions",None,Dworshak Dam and Reservoir,208-476-1255,,1,0,0,1,0,1,1,0,1
1639845946-50,http://www.ndwt.org/ndwt/explore/site.asp?site=161,Lake Bonneville,Columbia,170,OR,45.704333,-121.477333,year round,None,Oregon State Parks,503-695-2261 x222,http://www.oregonstateparks.org/park_157.php,1,0,0,1,0,0,0,0,0
1639846295-205,http://www.ndwt.org/ndwt/explore/site.asp?site=4,Clearwater,Clearwater,34,ID,,,,,BLM/CMC,,,1,0,0,1,0,1,1,0,0
1639846117-127,http://www.ndwt.org/ndwt/explore/site.asp?site=84,Lake Sacajawea,Snake,9.8,,46.252776,-118.876926,,,,,,0,0,0,0,0,0,0,0,0
1639846229-178,http://www.ndwt.org/ndwt/explore/site.asp?site=33,Lower Granite Lake,Snake,146,W -WA,46.3389,-117.051283,Year round,undeveloped,City of Asotin,509-243-4412,,1,0,0,1,0,0,1,0,1
1639846224-176,http://www.ndwt.org/ndwt/explore/site.asp?site=35,Lower Granite Lake,Snake,142,WA,46.421968,-117.039147,,,,,,0,0,0,0,0,0,0,0,0
1639845987-68,http://www.ndwt.org/ndwt/explore/site.asp?site=143,Lake Celilo,Columbia,202,OR,45.65,-120.96,year round,None,The Dalles Natural Resource Management Office,,,1,0,0,1,0,1,1,0,0
1639845863-15,http://www.ndwt.org/ndwt/explore/site.asp?site=199,Lake Umatilla,,,,,,,,Army Corps of engineers,,,0,0,0,0,0,0,0,0,0
1639846057-100,http://www.ndwt.org/ndwt/explore/site.asp?site=111,Lake Wallula,Columbia,292.1,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846174-153,http://www.ndwt.org/ndwt/explore/site.asp?site=58,Lake Bryan,Snake,77.5,,46.592331,-117.896939,,,Corps of Engineers,(505)-751-0240,,0,0,0,0,0,0,0,0,0
1639845962-57,http://www.ndwt.org/ndwt/explore/site.asp?site=154,Lake Bonneville,Columbia,174,OR,45.682,-121.404367,year round,None,City of Mosier,,http://tinyurl.com/yr4c6d,1,0,0,1,0,0,0,0,0
1639846279-198,http://www.ndwt.org/ndwt/explore/site.asp?site=11,Clearwater,Clearwater,3.5,N - ID,46 25.481,116 59.014,Year round,None,Clarkston Resources Office,,http://tinyurl.com/4dtvl6,1,0,0,1,0,1,1,0,1
1639846101-120,http://www.ndwt.org/ndwt/explore/site.asp?site=91,Lake Wallula,Snake,,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846172-152,http://www.ndwt.org/ndwt/explore/site.asp?site=59,Lake Bryan,Snake,72,S -WA,46.585197,-118.003812,Year round,Yes,Clarkston Natural Resources Office,(505)-751-0240,http://tinyurl.com/2b95uu,1,0,0,1,0,1,0,0,1
1639846189-160,http://www.ndwt.org/ndwt/explore/site.asp?site=51,Lake Bryan,Snake,105.5,N-WA,46.684067,-117.450317,Year round,Yes,Clarkston Natural Resources Office,509-397-3208,http://tinyurl.com/22w5th,1,1,1,0,1,1,1,1,1
1639845937-46,http://www.ndwt.org/ndwt/explore/site.asp?site=165,Lake Bonneville,Columbia,167,WA,45.72275,-121.56,year round,None,US Fish and Wildlife Service,(509) 493-1730,http://tinyurl.com/2g2uev,1,0,0,1,0,0,0,0,1
1639846042-93,http://www.ndwt.org/ndwt/explore/site.asp?site=118,Lake Umatilla,Columbia,283,S-OR,45.901,-119.49,year round,None,The Dalles Natural Resource Management Office,503-922-3744,http://tinyurl.com/4cuffk,1,0,0,1,0,1,1,1,1
1639846141-138,http://www.ndwt.org/ndwt/explore/site.asp?site=73,Lake Sacajawea,Snake,41,S -WA,46.556791,-118.541413,Year round,Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/yt2cfs,1,0,0,1,0,1,1,0,0
1639846213-171,http://www.ndwt.org/ndwt/explore/site.asp?site=40,Lower Granite Lake,Snake,138,S -WA,46.4202,-117.0696,Year round,RV only,Hells Canyon Marina,509-758-6963,http://www.hellscanyon.net/,1,0,1,0,1,1,0,1,1
1639845865-16,http://www.ndwt.org/ndwt/explore/site.asp?site=198,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846227-177,http://www.ndwt.org/ndwt/explore/site.asp?site=34,Lower Granite Lake,Snake,143,E - ID,46.3696,-117.05375,Year round,undeveloped,Hells Gate State Park,(208)-799-5015,,1,0,1,1,0,1,1,0,1
1639846147-141,http://www.ndwt.org/ndwt/explore/site.asp?site=70,Lake West,Snake,41.7,,,,,,,,,0,0,0,0,0,0,0,0,0
1639845985-67,http://www.ndwt.org/ndwt/explore/site.asp?site=144,Lake Celilo,Columbia,199,WA,45.663,-121.04,,,The Dalles Natural Resource Management Office,,,1,0,0,1,0,1,1,0,0
1639846255-187,http://www.ndwt.org/ndwt/explore/site.asp?site=22,,Clearwater,,ID,,,Summer through Fall Months,both,Dworshak Dam and Reservoir,208-476-1255,,1,0,0,1,0,0,0,0,0
1639845915-36,http://www.ndwt.org/ndwt/explore/site.asp?site=175,Bonneville Dam,Columbia,147,WA,45.635167,-121.935017,year round,undeveloped,US Army Corps of Engineers,541-374-4556,,1,0,0,1,1,1,0,0,1
1639846198-164,http://www.ndwt.org/ndwt/explore/site.asp?site=47,Lower Granite Lake,Snake,108,N - WA,46.634917,-117.417067,Year round,Yes,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/24x296,1,0,0,0,0,1,0,0,1
1639845854-11,http://www.ndwt.org/ndwt/explore/site.asp?site=203,Lake Wallula,Columbia,315,,46.057807,-118.912411,year round,Tent and RV,Ice Harbor Lock & Dam,,http://tinyurl.com/3zt3ul,1,0,0,0,0,1,1,0,0
1639846185-158,http://www.ndwt.org/ndwt/explore/site.asp?site=53,Lake Bryan,Snake,102,S -WA,46.680324,-117.501255,Year round,undeveloped,Clarkston Natural Resources Office,(505)-751-0204,,1,0,0,1,0,0,0,0,0
1639846180-156,http://www.ndwt.org/ndwt/explore/site.asp?site=55,Lake Bryan,Snake,88,S -WA,46.682524,-117.749768,Year round,Yes,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/2ho48x,1,0,0,0,0,1,0,0,0
1639845969-60,http://www.ndwt.org/ndwt/explore/site.asp?site=151,Lake Bonneville,Columbia,190,OR,45.600517,-121.16875,Open May 25 - November 1.,None,Northern Wasco County Parks and Recreation,541-296-9533,http://tinyurl.com/35pvtm,1,0,0,1,1,1,0,0,1
1639846105-122,http://www.ndwt.org/ndwt/explore/site.asp?site=89,Lake Wallula,Snake,2,WA,46.214683,-119.0189,,,,,,0,0,0,0,0,0,0,0,0
1639845991-70,http://www.ndwt.org/ndwt/explore/site.asp?site=141,Lake Celilo,Columbia,209,WA,45.676,-120.83,,,,,,0,0,0,0,0,0,0,0,0
1639845966-59,http://www.ndwt.org/ndwt/explore/site.asp?site=152,Lake Bonneville,Columbia,181,OR,45.675533,-121.26455,year round,none,Oregon State Parks,503-695-2261 x222,http://www.oregonstateparks.org/park_161.php,1,0,0,1,0,0,0,0,1
1639846301-208,http://www.ndwt.org/ndwt/explore/site.asp?site=1,Clearwater,Clearwater,40,South,46.50514,-116.34823,year round,None,Nez Perce National Historic Park,,,1,0,0,1,0,0,0,0,1
1639846264-191,http://www.ndwt.org/ndwt/explore/site.asp?site=18,,Clearwater,,ID,46.476442,-116.766443,,,CMC/BLM,,,0,0,0,0,0,0,0,0,0
1639845942-48,http://www.ndwt.org/ndwt/explore/site.asp?site=163,Lake Bonneville,Columbia,169,OR,45.711867,-121.502833,year round,None,Port of Hood River,541-386-1645,,0,0,1,1,0,1,0,0,1
1639846152-143,http://www.ndwt.org/ndwt/explore/site.asp?site=68,Lake West,Snake,51,S -WA,46.586974,-118.36984,Year round,Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/2gymwe,1,0,0,1,0,1,1,0,0
1639845975-63,http://www.ndwt.org/ndwt/explore/site.asp?site=148,Lake Bonneville,Columbia,191.9,,,,,,,,,0,0,0,0,0,0,0,0,0
1639846268-193,http://www.ndwt.org/ndwt/explore/site.asp?site=16,,Clearwater,,ID,,,,,Idah Transportation Dept.,(208)-799-5090,,0,0,1,0,0,0,0,0,0
1639846033-89,http://www.ndwt.org/ndwt/explore/site.asp?site=122,Lake Umatilla,Columbia,269,OR,45.846,-119.7,March 15 through December 15,Yes,The Dalles Natural Resource Management Office,503-481-7217,http://tinyurl.com/4t4onc,1,0,0,1,0,1,1,0,1
1639846085-113,http://www.ndwt.org/ndwt/explore/site.asp?site=98,Lake Wallula,Columbia,329,WA,46.21702,-119.115994,,,Port of Kennewick,509.586.1186,http://www.portofkennewick.org/,0,0,0,0,0,1,1,0,0
1639846176-154,http://www.ndwt.org/ndwt/explore/site.asp?site=57,Lake Bryan,Snake,83,S -WA,46.616049,-117.796673,,,Port of Garfield,(509) 843-3740,http://www.portofgarfield.com/,0,0,0,0,0,1,1,0,0
1639846044-94,http://www.ndwt.org/ndwt/explore/site.asp?site=117,Lake Umatilla,Columbia,289,WA,45.932,-119.35,"Campground - April 1 to October 31, Day-Use - May to September",Yes,The Dalles Natural Resource Management Office,(509) 783-1270,http://tinyurl.com/ynthwd,1,1,0,0,0,1,1,0,1
